getOwner,102
addToolListener,23
getApplication,74
createDrawing,2
hashCode,2792
createSheet,1
getLayer,46
getTitle,3
getBundle,442
addFontButtonsTo,1
removePropertyChangeListener,157
setDefaultAttribute,3
addEnumClass,8
clone,56
createFontStyleUnderlineButton,3
constrainPoint,198
removeUndoableEditListener,1
paintIcon,46
getRecentURIs,3
configureAction,146
uninstallSheet,3
initActions,1
removeHandleListener,18
setActiveHandle,3
getEditor,1811
toolStarted,6
getString,375
registerEventHandler,242
getAcceleratorProperty,73
isShowing,148
getModel,12
southWest,4
setHasUnsavedChanges,2
drawHandles,33
createUI,2
basicAdd,6
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,374
getNodeCount,174
updatePreview,1
uninstallViewListeners,7
focusGained,4
updateView,24
getPrototype,3
getTextProperty,80
addOtherViewItems,1
createImage,4
addPreferencesItems,1
drawDrawingNonvolatileBuffered,33
getMenuBuilder,5
removeFigureListener,21
areaInvalidated,101
fireBoundsInvalidated,3
fireOptionSelected,2
drawBackground,33
getStrokeTotalWidth,340
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,172
creationFinished,3
outlineContains,32
isDone,135
createEditorColorButton,6
access$9,2
getHandlesize,18
isToolDoneAfterCreation,3
access$6,4
createStrokeDecorationButton,1
construct,1
generateFallbackKeys,566
access$2,31
optionSelected,1
access$1,77
access$0,203
figureAdded,6
updateActions,4
getPerpendicularHitGrowth,118
updateEnabledState,901
isAnimated,3
addColorButtonsTo,2
setTarget,20
updateHoverHandles,81
getSelectionPath,3
drawCanvas,66
isNativeLookAndFeel,1
createActionMap,20
propertyChange,2315
deactivate,19
addSaveFileItems,1
northEast,4
fireToolStarted,3
installFramePrefsHandler,2
execute,1
mouseMoved,734
getActiveView,1438
get,4617
getIconHeight,3
componentShown,1
hasUnsavedChanges,4
ancestorAdded,3
findView,79
addStorableClass,48
createZoomButton,2
setViewClassName,1
addOtherMenus,1
setName,1
getValue,2
setView,25
addDefaultCreationButtonsTo,1
getRealUndoAction,3
set,131
figureChanged,31
getWindowForComponent,8
getDefault,221
addHandleListener,21
ensureSorted,23
locate,16
isTransformable,38
getColor,386
getRedoAction,1
setUpdateEnabledState,147
getSelectionHandles,113
finished,1
main,2
createInputMap,18
getComponent,95
