getOwner,98
addToolListener,23
getApplication,63
createDrawing,2
hashCode,2295
createSheet,1
getEndConnector,11
getLayer,24
getTitle,3
getBundle,442
addFontButtonsTo,1
removePropertyChangeListener,156
setDefaultAttribute,3
addEnumClass,8
clone,28
createFontStyleUnderlineButton,3
constrainPoint,196
removeUndoableEditListener,1
paintIcon,37
getRecentURIs,3
configureAction,146
uninstallSheet,3
initActions,1
removeHandleListener,18
setActiveHandle,3
getEditor,1585
toolStarted,6
getString,375
registerEventHandler,242
getAcceleratorProperty,73
isShowing,108
getModel,12
southWest,4
setHasUnsavedChanges,2
drawHandles,27
createUI,2
basicAdd,6
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,362
getNodeCount,129
updatePreview,1
uninstallViewListeners,7
pointToAngle,4
focusGained,4
updateView,24
getPrototype,9
getTextProperty,80
addOtherViewItems,1
createImage,4
addPreferencesItems,1
drawDrawingNonvolatileBuffered,27
getMenuBuilder,5
removeFigureListener,22
areaInvalidated,66
fireBoundsInvalidated,2
fireOptionSelected,2
drawBackground,27
getStrokeTotalWidth,339
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,182
creationFinished,3
isDone,35
createEditorColorButton,6
findStart,2
access$9,2
getHandlesize,16
isToolDoneAfterCreation,3
access$6,4
createStrokeDecorationButton,1
construct,1
generateFallbackKeys,566
access$2,16
optionSelected,1
access$1,47
access$0,173
figureAdded,6
updateActions,4
getPerpendicularHitGrowth,146
updateEnabledState,817
isAnimated,3
addColorButtonsTo,2
setTarget,20
updateHoverHandles,95
getSelectionPath,3
drawCanvas,54
isNativeLookAndFeel,1
createActionMap,20
propertyChange,2205
deactivate,19
addSaveFileItems,1
northEast,4
fireToolStarted,3
setNode,16
installFramePrefsHandler,2
execute,1
mouseMoved,353
getActiveView,1434
get,3600
setStartConnector,1
getIconHeight,3
getStartConnector,12
componentShown,1
hasUnsavedChanges,4
ancestorAdded,3
findView,93
addStorableClass,48
createZoomButton,2
setViewClassName,1
addOtherMenus,1
setName,1
getValue,2
setView,24
addDefaultCreationButtonsTo,1
getRealUndoAction,3
set,131
figureChanged,16
getWindowForComponent,8
getDefault,221
addHandleListener,18
ensureSorted,15
locate,16
isTransformable,22
getColor,386
getRedoAction,1
setUpdateEnabledState,147
getSelectionHandles,120
finished,1
main,2
createInputMap,18
getComponent,117
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$Underfill,16
createViewActionMap,1
getBounds2D,12
createFigure,3
getDrawingViews,11
wrapViewComponent,1
maybeAddSeparator,7
removeFigureSelectionListener,147
updateOpenRecentMenu,1
activate,23
getViewClass,1
userNodeForPackage,3
isLeaf,271
createMenuBar,1
configure,1
setEditor,232
createModelActionMap,1
done,1
southEast,4
invalidateHandles,3
initLookAndFeel,1
removeToolListener,6
getUndoAction,1
repaintHandles,11
addAttributesButtonsTo,1
validateViewTranslation,4
isSelectable,39
addNode,84
createFileMenu,1
supportsHandleInteraction,48
createSelectionActions,1
configureJCheckBoxMenuItem,3
addTreeModelListener,2
findFigure,329
installComponents,1
getDrawingArea,184
isChanging,16
isSharingToolsAmongViews,1
getAction,8
getActiveHandle,40
clear,1
getPopupAlpha,3
getDrawingToViewTransform,18
setConnectable,26
drawFill,23
createEditMenu,1
setCopyright,1
getEndFigure,7
addClearFileItems,1
getMnemonicProperty,79
clearSelection,4
addCreationButtonsTo,1
setBounds,35
addResizeHandles,2
selectionChanged,336
actionPerformed,3
fireUndoableEditHappened,3
ancestorRemoved,3
getColumnCount,225
findIntersects,45
removeNotify,1
componentMoved,2
configureToolBarButton,66
northWest,4
getPoint,8
findFigureExcept,53
createToggleGridButton,1
addUndoItems,1
createViewMenu,1
getStrokeColor,4
contains,163
drawDrawing,15
setText,6
getConnectorTarget,8
changed,18
updateCollectionList,1
getBounds,309
addToolTo,15
clearRubberBand,82
initComponents,16
installViewListeners,7
addSheetListener,1
createFontStyleBoldButton,3
hide0,2
canGroup,5
getURI,4
setTitle,3
isConnectable,41
setEndPoint,21
invalidateDimension,42
isConnectToDecorator,12
getPopupMenu,220
getCappedPath,7
installDefaults,167
addInputFormat,8
add,256
drawRectangle,40
drawTool,27
addEdgeResizeHandles,2
getConstrainer,113
getFont,1
createFontButton,4
unregisterEventHandler,378
updateCursor,82
findEnd,2
east,4
hasAlpha,1
canConnect,7
setLiner,2
dispose,24
getFaceList,4
show0,1
getCollectionList,4
getRoot,1
getCachedDefaults,5
addEdit,3
doIt,1
drawingToView,66
