getOwner,123
addToolListener,23
getApplication,63
createDrawing,2
hashCode,1978
createSheet,1
getEndConnector,11
getLayer,24
getTitle,3
getBundle,442
addFontButtonsTo,1
removePropertyChangeListener,156
setDefaultAttribute,3
addEnumClass,8
clone,28
createFontStyleUnderlineButton,3
constrainPoint,213
removeUndoableEditListener,1
paintIcon,40
getRecentURIs,3
configureAction,146
uninstallSheet,3
initActions,1
removeHandleListener,18
setActiveHandle,3
getEditor,1681
toolStarted,6
getString,375
registerEventHandler,242
getAcceleratorProperty,73
isShowing,95
getModel,12
southWest,4
setHasUnsavedChanges,2
drawHandles,22
createUI,2
basicAdd,6
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,280
getNodeCount,147
updatePreview,1
uninstallViewListeners,7
pointToAngle,4
focusGained,4
updateView,24
getPrototype,9
getTextProperty,80
addOtherViewItems,1
createImage,4
addPreferencesItems,1
drawDrawingNonvolatileBuffered,22
getMenuBuilder,5
removeFigureListener,22
areaInvalidated,54
fireBoundsInvalidated,2
fireOptionSelected,2
drawBackground,22
getStrokeTotalWidth,260
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,135
creationFinished,3
isDone,35
createEditorColorButton,6
findStart,2
access$9,2
getHandlesize,16
isToolDoneAfterCreation,3
access$6,4
createStrokeDecorationButton,1
construct,1
generateFallbackKeys,566
access$2,12
optionSelected,1
access$1,39
access$0,165
figureAdded,6
updateActions,4
getPerpendicularHitGrowth,105
updateEnabledState,817
isAnimated,3
addColorButtonsTo,2
setTarget,20
updateHoverHandles,124
getSelectionPath,3
drawCanvas,44
isNativeLookAndFeel,1
createActionMap,20
propertyChange,2205
deactivate,19
addSaveFileItems,1
northEast,4
fireToolStarted,3
setNode,22
installFramePrefsHandler,2
execute,1
mouseMoved,404
getActiveView,1521
get,3130
setStartConnector,1
getIconHeight,3
getStartConnector,12
componentShown,1
hasUnsavedChanges,4
ancestorAdded,3
findView,122
addStorableClass,48
createZoomButton,2
setViewClassName,1
addOtherMenus,1
setName,1
getValue,2
setView,24
addDefaultCreationButtonsTo,1
getRealUndoAction,3
set,131
figureChanged,12
getWindowForComponent,8
getDefault,221
addHandleListener,18
ensureSorted,14
locate,16
isTransformable,38
getColor,386
getRedoAction,1
setUpdateEnabledState,147
getSelectionHandles,145
finished,1
main,2
createInputMap,18
getComponent,149
